date,open,high,low,close,adjusted_close,volume
2023-07-10,144.5,145.99001,144.5,145.14999,,9100100
2023-07-11,146.34,147.82001,145.71001,147.42,,11265600
2023-07-12,147.45,149.87,147,148.14999,,11323200
2023-07-13,148.7,149.37,147.75,148.87,,11234900
2023-07-14,151.55,152.89,148.41,149.77,,27011600
2023-07-17,150.35001,153.75,150.35001,153.38,,17262400
2023-07-18,153.38,154.39999,152.82001,153.66,,13491700
2023-07-19,152.75,155.21001,152.22,154.25,,12510000
2023-07-20,154.53,156.59,154.41,156.14999,,9935900
2023-07-21,155.8,156.14,154.69,154.95,,10633100
2023-07-24,154.97,158.78999,154.73,158,,14381400
2023-07-25,157.3,157.72,155.96001,156.82001,,9944700
2023-07-26,156.71001,158.25,156.28,157.75999,,8728600
2023-07-27,157.77,158.78,155.55,156.020004,,10778400
2023-07-28,157.28,157.60001,156.44,156.91,,9103800
2023-07-31,157.17999,159.38,157.14999,157.96001,,8892700
2023-08-01,157.42999,158,156.14999,157.17999,,6853900
2023-08-02,155.56,155.69,153.94,155.39999,,8299400
2023-08-03,155,156.92,154.35001,156.35001,,6084000
2023-08-04,156.39999,157.8,155.7,156.020004,,6206600
2023-08-07,156.60001,157.7,156.60001,156.75999,,7251800
2023-08-08,154.32001,155.98,152.59,155.88,,8623400
2023-08-09,155.32001,155.52,153.47,153.78999,,6277800
2023-08-10,154.38,155.44,153.089996,153.56,,5995100
2023-08-11,153.029999,154.52,152.63,154.45,,5178000
2023-08-14,153.61,154.92,152.92,154.77,,5044300
2023-08-15,152.85001,153.27,150.23,150.83,,10300300
2023-08-16,150.60001,150.96001,149.67999,150.19,,6978200
2023-08-17,150.88,151.25999,148.39999,148.63,,9953900
2023-08-18,147.64999,149.5,147.44,148.97,,8516900
2023-08-21,149.64999,150.10001,148.020004,149.48,,8327000
2023-08-22,149.25999,149.64,145.85001,146.38,,9682000
2023-08-23,146.35001,147.59,145.46001,147.37,,7858000
2023-08-24,147.5,149.41,146.99001,147.23,,6534000
2023-08-25,147.28,148.62,145.85001,147.050003,,6695500
2023-08-28,147.57001,148.61,147.13,147.56,,5094100
2023-08-29,147.71001,148.85001,147.17999,148.75999,,6337000
2023-08-30,148.62,149.14999,147.19,148.16,,6277300
2023-08-31,148.25999,148.35001,145.96001,146.33,,10933900
2023-09-01,146.089996,148.080002,145.7,146.82001,,7902100
2023-09-05,147.16,148.21001,145.0099945,145.2,,7854700
2023-09-06,144.7,145.53999,144.11,144.96001,,8629200
2023-09-07,144.13,145.27,143.39,143.72,,8373700
2023-09-08,143.37,144.12,142.64999,143.83,,7107900
2023-09-11,144.75,145.050003,143.69,144.46001,,6854200
2023-09-12,144.5,147.32001,144.050003,146.34,,8363200
2023-09-13,147.34,147.7,145.82001,146.41,,8325900
2023-09-14,147.84,149.89999,147.52,149.25,,10034900
2023-09-15,148.92,149.73,148.31,148.81,,19824100
2023-09-18,148.16,149.14,147.75,149.12,,6512400
2023-09-19,149.5,149.72,147.21001,148.92999,,7943400
2023-09-20,149.64999,150.25,148.14,148.3,,7332000
2023-09-21,147.58,148.85001,146.63,147.14,,8052400
2023-09-22,147.28999,147.50999,145.19,145.73,,7071700
2023-09-25,145.35001,146.52,143.7,146.45,,7044700
2023-09-26,144.60001,145.84,144.23,144.92999,,7468400
2023-09-27,145.19,146.089996,144.50999,145.78,,6717800
2023-09-28,146.28,148.87,146.0099945,147.59,,8868100
2023-09-29,148.60001,148.75999,144.86,145.020004,,11915700
2023-10-02,144.83,145.62,142.63,143.77,,9170600
2023-10-03,143.2,143.59,142.35001,142.71001,,9431100
2023-10-04,143.19,143.47,141.92999,143.35001,,8128700
2023-10-05,142.039993,143.10001,140.83,142.89999,,8576200
2023-10-06,142.91,145.88,142.14,145.10001,,10269400
2023-10-09,143.66,145.39999,143.5,144.77,,6964900
2023-10-10,145.42,146.77,145.28,145.64999,,11288800
2023-10-11,146.50999,147.23,145.020004,146.14999,,8698200
2023-10-12,146.3,146.96001,145.13,145.81,,10484400
2023-10-13,148.5,153.11,147.84,148,,29427000
2023-10-16,149.45,149.52,146.72,147.85001,,12663500
2023-10-17,147.57001,149.31,146.78999,147.53,,11482700
2023-10-18,146.59,147.48,145.37,145.91,,9620300
2023-10-19,145.48,147.020004,144.88,145.28999,,11143600
2023-10-20,144.57001,145.14,142.12,142.95,,13332000
2023-10-23,142.94,143.67999,140.73,141,,10133400
2023-10-24,141.19,141.73,140.36,141.17,,8881400
2023-10-25,140.57001,141.17999,139.50999,140.39999,,8242600
2023-10-26,139.75999,141.67,139.42999,140.75999,,9109400
2023-10-27,138.95,139.10001,135.19,135.69,,17434700
2023-10-30,136.44,138.039993,136.039993,137.42,,9855500
2023-10-31,137.71001,139.24001,137.47,139.059998,,9672500
2023-11-01,139.25,140.53,138.47,138.94,,9432000
2023-11-02,140.089996,141.48,139.23,141.42,,10186200
