date,open,high,low,close,adjusted_close,volume
2023-07-10,78.07,79.29,78.07,78.54,,3159200
2023-07-11,78.93,80.6,78.86,80.47,,2769200
2023-07-12,80.8,80.88,78.63,78.73,,2982500
2023-07-13,79.029999,79.43,78.39,79.17,,2194800
2023-07-14,79.66,79.66,78.080002,78.2,,1869800
2023-07-17,78.63,79.76,78.27,79.56,,2441100
2023-07-18,79.58,81.62,79.42,80.75,,2793900
2023-07-19,81.029999,81.57,80.31,81,,2329500
2023-07-20,81.88,82.88,81.63,82.63,,2934300
2023-07-21,82.96,82.99,82.099998,82.14,,2537900
2023-07-24,82.55,83.74,82.31,83.11,,3059600
2023-07-25,83.24,86.3,82.71,86.050003,,4330300
2023-07-26,86.8,87.3,86.33,86.9,,3134400
2023-07-27,86.9,87.29,85.47,85.79,,2676400
2023-07-28,86.28,86.49,85.91,86.39,,1620900
2023-07-31,86.99,87,84.36,84.96,,5483600
2023-08-01,84.43,85.23,83.89,84.98,,2293200
2023-08-02,84.49,85.88,84.3,84.79,,2793500
2023-08-03,84.49,85.51,84.29,84.97,,2134200
2023-08-04,85.54,87,85.51,85.55,,3437500
2023-08-07,85.55,87.29,85.4,87.21,,2750600
2023-08-08,86.34,86.79,85.16,86.44,,2371500
2023-08-09,86.85,86.85,85.69,85.85,,1836900
2023-08-10,85.97,86.89,85.47,85.9,,2023100
2023-08-11,85.87,85.89,84.4,84.82,,2266900
2023-08-14,84.73,85.010002,84.32,84.94,,1859700
2023-08-15,84.11,84.39,82.34,82.43,,2020600
2023-08-16,82.26,82.69,82.019997,82.17,,1908800
2023-08-17,82.62,83.15,82.22,82.54,,1547300
2023-08-18,82.089996,83.029999,82,82.83,,1738600
2023-08-21,82.98,83,81.99,82.51,,2490100
2023-08-22,82.52,82.71,80.7,80.77,,2012000
2023-08-23,80.55,81.16,79.69,81.13,,2060200
2023-08-24,81.07,81.45,80.23,80.33,,2282300
2023-08-25,80.75,81.099998,80.18,80.83,,3717600
2023-08-28,81.13,81.87,80.6,80.87,,2269300
2023-08-29,81.21,81.66,80.040001,81.61,,2178000
2023-08-30,81.57,81.7,80.74,80.75,,2969100
2023-08-31,80.87,80.87,79.27,79.3,,4174800
2023-09-01,79.84,80.47,79.22,79.79,,3572100
2023-09-05,79.54,80,78.53,78.88,,3243800
2023-09-06,78.8,78.86,77.040001,77.46,,3563900
2023-09-07,77.5,78.6,77.23,78.53,,3058800
2023-09-08,78.8,79.51,78.58,78.81,,2984100
2023-09-11,79.11,79.57,78.32,78.74,,2832200
2023-09-12,79.13,80.13,79.13,79.7,,2910800
2023-09-13,80.16,80.33,79.24,79.64,,2934500
2023-09-14,80.089996,80.97,80,80.65,,3454200
2023-09-15,80.53,80.71,78.68,79.35,,10336900
2023-09-18,79.69,79.92,79.050003,79.19,,3062000
2023-09-19,79.32,79.49,78.88,79.099998,,3324400
2023-09-20,79.45,80.15,79.28,79.38,,1961600
2023-09-21,79.39,79.52,78.74,78.88,,2637700
2023-09-22,78.67,78.92,76.87,76.98,,2102700
2023-09-25,76.66,77.33,76.66,77.3,,1634100
2023-09-26,76.79,77.13,75.83,76.07,,2200200
2023-09-27,76.15,76.74,75.42,76.36,,2272300
2023-09-28,76.44,77.14,75.82,76.040001,,2149400
2023-09-29,76.28,76.33,74.92,75.42,,2366500
2023-10-02,74.8,75.17,73.51,74.2,,2518600
2023-10-03,73.98,74.43,73.56,73.81,,1870800
2023-10-04,73.8,73.82,72.96,73.47,,1704600
2023-10-05,73.43,73.88,72.99,73.13,,1555800
2023-10-06,72.62,73.059998,71.41,72.86,,2094400
2023-10-09,72.86,74.35,72.86,73.9,,1845300
2023-10-10,74.44,74.88,73.94,74.15,,2159100
2023-10-11,74.28,74.76,73.29,73.7,,1981900
2023-10-12,73.8,73.88,72.010002,72.77,,1898100
2023-10-13,72.7,73.48,72.69,73.32,,1699400
2023-10-16,74,74.56,73.38,74.52,,2042100
2023-10-17,73.67,75.51,73.59,75.2,,1916100
2023-10-18,75,76.059998,74.46,74.52,,1919200
2023-10-19,74.49,74.71,73.61,73.84,,2164000
2023-10-20,74.040001,74.24,72.83,72.85,,2457300
2023-10-23,72.74,73.34,72.37,72.4,,2718400
2023-10-24,71.68,72.63,69.46,69.47,,5912100
2023-10-25,69.73,71.17,69.31,71.050003,,3672100
2023-10-26,71.13,72.47,71.089996,71.85,,3319300
2023-10-27,71.61,71.84,69.69,70.040001,,2915300
2023-10-30,70.4,71.75,70.35,71.42,,2333300
2023-10-31,71.53,72.019997,71.3,71.57,,2627000
2023-11-01,71.85,72.24,71.22,71.37,,2516300
2023-11-02,71.43,72.59,71.12,72.42,,2547300
2023-11-03,73.050003,73.7,72.72,72.91,,2330800
2023-11-06,72.91,73.37,72.44,72.56,,2911100
2023-11-07,72.38,72.64,71.97,72.11,,2575400
2023-11-08,72.059998,72.49,71.58,72.029999,,3073500
2023-11-09,72.41,72.58,71.8,72.16,,2956000
2023-11-10,72.3,73.23,71.99,72.5,,8577600
2023-11-13,72.48,73.080002,72.36,73.040001,,2854400
2023-11-14,73.040001,74.46,73.040001,73.86,,3218500
2023-11-15,74.27,75.17,74.18,74.24,,3112900
2023-11-16,73.8,74.13,73.46,73.92,,2902300
2023-11-17,74.36,74.54,73.57,73.96,,2859300
2023-11-20,73.67,74.2,73.51,73.61,,3316400
2023-11-21,73.78,74.029999,73.4,73.73,,3146300
2023-11-22,73.43,74.41,73.11,74.33,,2440600
2023-11-24,74.48,75.33,74.11,74.3,,1171500
2023-11-27,74,74.07,73.19,73.19,,2854200
2023-11-28,73.19,74.24,72.86,74.050003,,2834100
2023-11-29,74.010002,74.12,73.059998,73.19,,2702600
2023-11-30,73.47,74.11,73.27,73.73,,5546400
2023-12-01,73.76,75.29,73.72,75.080002,,2722400
2023-12-04,74.58,75.57,74.42,74.63,,4183800
2023-12-05,74.29,74.7,73.96,74.14,,2888800
2023-12-06,73.96,74.19,73.080002,73.19,,3188500
2023-12-07,73.55,74.56,73.31,73.83,,3030800
2023-12-08,74.13,74.69,73.7,73.75,,2903800
2023-12-11,73.85,75.2,73.62,75.080002,,2936700
2023-12-12,75,75.099998,74.010002,74.58,,2588100
2023-12-13,74.4,75.43,72.53,75.26,,4365200
2023-12-14,75.48,77.35,75.48,76.42,,3863700
2023-12-15,76.44,76.62,75.58,75.75,,11609200
2023-12-18,75.4,75.6,72.17,72.34,,6458500
2023-12-19,72.65,74.17,72.55,73.94,,3770400
2023-12-20,73.34,73.45,70.6,70.68,,5051200
2023-12-21,70.7,71.22,70.059998,70.93,,3827800
2023-12-22,71.11,72.14,71.11,71.46,,3018600
2023-12-26,71.55,72.6,71.55,72.39,,1892500
2023-12-27,72.080002,72.36,71.76,72.17,,2372900
