date,open,high,low,close,adjusted_close,volume
2023-07-10,97.65,102.491,96.59,101.45,,4050100
2023-07-11,102.025002,106.080002,101.059998,104.98,,5187400
2023-07-12,108.215,108.51,104.66,105.445,,5492500
2023-07-13,106.5,109.65,106.14,109.19,,3932800
2023-07-14,110,111.6,107.66,108.53,,3305800
2023-07-17,109.41,113.625,109.010002,112.77,,3532300
2023-07-18,112.67,115,111.37,113.82,,3358200
2023-07-19,116,117.446,113.53,115.22,,4032100
2023-07-20,113,114.29,109.74,109.9,,3811800
2023-07-21,110.87,111.5,108.672,109.87,,6914900
2023-07-24,110.22,111.62,109.34,111.49,,2986000
2023-07-25,115.79,118.019997,114.32,115.3,,6384300
2023-07-26,109.58,112.695,107.050003,110.64,,5720400
2023-07-27,113.15,113.2,108.6,109.46,,3327700
2023-07-28,111.11,113.24,109.72,112.19,,2852900
2023-07-31,113.435,116.78,113.435,116.72,,4030400
2023-08-01,115,115.84,113.77,114.95,,2189500
2023-08-02,111.81,112.49,105.41,106.83,,6044500
2023-08-03,106.22,107.57,105,107.099998,,4359600
2023-08-04,114.795,115.95,107.3,107.53,,6321800
2023-08-07,109.22,110.080002,104.77,106.3,,7678800
2023-08-08,84.38,89.24,83.87,88.040001,,26640900
2023-08-09,87.95,88.87,84.46,86.76,,8504900
2023-08-10,88.83,92.16,88.51,90.72,,7251700
2023-08-11,88.73,90.96,88.6,89.44,,3170500
2023-08-14,88.089996,90.3,87.59,89.78,,3215400
2023-08-15,89.37,89.65,87.55,88.52,,3108400
2023-08-16,88.86,92.14,88.099998,90.6,,5264300
2023-08-17,90.050003,91,89.422,90.29,,4189200
2023-08-18,89.4,94.25,89.040001,93.63,,5407000
2023-08-21,94.99,96.48,94.23,94.69,,4747600
2023-08-22,95.47,95.87,92.67,93.69,,3214300
2023-08-23,93.69,95.98,92.26,95.44,,3048700
2023-08-24,97.35,97.35,91.37,91.85,,3788100
2023-08-25,91.7,94,91.13,92.6,,2761500
2023-08-28,93.25,93.43,91.48,92.54,,2289900
2023-08-29,92.31,95.050003,91.94,93.81,,2345400
2023-08-30,92.71,94.2,91.85,94.16,,3966400
2023-08-31,94.66,98.14,94.66,96.48,,4390100
2023-09-01,97.73,98.84,96.92,97.73,,3247300
2023-09-05,95.6,98.019997,95.165,98,,3334900
2023-09-06,97.16,98.3,95.64,97.66,,3263000
2023-09-07,95.67,96.98,94.641,96.68,,2473600
2023-09-08,96.65,99.099998,96.080002,97.66,,3620000
2023-09-11,98.19,102,97.85,101.88,,4035100
2023-09-12,99.92,101.16,98.17,98.22,,2843200
2023-09-13,98.050003,99.405,97.33,97.48,,2226800
2023-09-14,98.029999,98.71,96.46,97.51,,1932100
2023-09-15,95.96,96.61,93.51,94.55,,8094300
2023-09-18,93.8,95.492,93.25,94.5,,1860200
2023-09-19,94,94.050003,91.72,92.89,,2117100
2023-09-20,92.89,94.81,91.98,92.050003,,2935900
2023-09-21,91,91.34,88.13,88.42,,4259200
2023-09-22,89.099998,89.725,87.26,88.76,,2487600
2023-09-25,87.84,88.88,87.401,88.84,,1666000
2023-09-26,87.93,88.75,86.25,86.57,,2835400
2023-09-27,87.059998,88.36,86.66,87.83,,2256000
2023-09-28,86.905,90.11,85.29,88.96,,4128700
2023-09-29,91.84,93.22,90.95,91.089996,,3797600
2023-10-02,92.54,93.35,90.83,91.84,,2538000
2023-10-03,90.62,91.3,86.41,86.97,,3573900
2023-10-04,86.84,88.735,86.55,88.53,,3254900
2023-10-05,88.75,89.71,88.26,89.54,,3625200
2023-10-06,87.58,94.8,87.5,94.43,,4428500
2023-10-09,89.26,91.635,89.050003,90.73,,6148300
2023-10-10,90.73,93.65,90.51,91.63,,4392800
2023-10-11,92.37,92.695,88.5,89.44,,4182500
2023-10-12,89.41,90.37,87.145,87.98,,3124800
2023-10-13,88.66,88.94,86.7,88.059998,,2887400
2023-10-16,88.35,91.72,87.85,90.52,,2965100
2023-10-17,88.48,91.47,87.73,90.41,,2495500
2023-10-18,89.74,90.9,88.21,88.29,,2755500
2023-10-19,88.57,89.52,87.12,87.75,,3383500
2023-10-20,87.84,89.099998,84.91,86.080002,,3767200
2023-10-23,84.85,86.089996,83.85,85.68,,3016600
2023-10-24,86.27,88.63,86.099998,87.86,,3660000
2023-10-25,86.099998,86.65,81.56,81.59,,4427000
2023-10-26,82.029999,83.72,79.41,80.72,,5160800
2023-10-27,81.8,82.44,80.46,81.68,,3633800
2023-10-30,81.16,81.57,79.37,80.41,,4016200
2023-10-31,80.78,82.51,79.54,81.47,,3289200
2023-11-01,82.019997,82.2,78.66,80.099998,,5032900
2023-11-02,81.8,83.57,77.81,79.24,,6804200
2023-11-03,79.47,83.050003,79,82.040001,,5742300
2023-11-06,82.83,82.87,79.07,79.55,,9905400
2023-11-07,98.99,104.43,96.17,102.2,,29134800
2023-11-08,101.7,103.96,99.21,99.99,,8377600
2023-11-09,100.49,102.48,99.6,100.23,,6947700
2023-11-10,99.85,103.85,99.51,103.65,,5086400
2023-11-13,103.49,105.86,102.74,104.25,,4727100
2023-11-14,106.59,109.19,104.4,109.019997,,5824800
2023-11-15,109.99,112.11,109.099998,109.44,,5196800
2023-11-16,109.19,110.69,108.26,109.12,,2477600
2023-11-17,109.07,110,108.74,109.54,,2294600
2023-11-20,109.52,112.19,109.13,111.77,,4091400
2023-11-21,109.72,112.18,108.62,111.93,,3508600
2023-11-22,112.945,113.57,110.72,112.13,,2506400
2023-11-24,112.14,113.12,111.16,112.87,,1304800
2023-11-27,112.64,114.16,111.565,111.92,,2878900
2023-11-28,112.26,114.844,112.15,114.24,,3620600
2023-11-29,115.18,117.72,115,116.65,,4193700
2023-11-30,118.19,120.26,115.51,116.57,,4798200
2023-12-01,117.29,118.77,116.080002,118.62,,3584300
2023-12-04,117.4,118.405,115.293,118.18,,4501500
2023-12-05,117.72,118.8,115.86,118.07,,2703800
2023-12-06,118,118.95,114.23,114.31,,4064500
2023-12-07,117.080002,117.479,114.35,115,,2870500
2023-12-08,113.28,114.39,112.25,113.83,,3126200
2023-12-11,114.82,115.9,114.099998,114.73,,2689400
2023-12-12,113.46,115.5,112.59,114.66,,1939500
2023-12-13,114.72,117.46,113.5,117.23,,4162600
2023-12-14,119.010002,120.965,117.685,120.65,,5620800
2023-12-15,121.59,123.823,120.721,122.6,,6433300
2023-12-18,122.44,124.15,121.69,123.27,,2550900
2023-12-19,124.45,124.69,121.585,122.41,,2753100
2023-12-20,121.67,123.49,120.16,120.62,,2606800
2023-12-21,122.75,123.13,120.66,122.48,,2426900
2023-12-22,123.21,123.46,121.21,122.49,,2201500
2023-12-26,122.85,123.82,122.25,123.56,,1142800
2023-12-27,124,124.16,122.61,123.6,,1400300
2023-12-28,124,124.48,122.82,123.28,,1506200
2023-12-29,123,123.725,120.89,121.38,,2193300
2024-01-02,119.225,119.225,114.278,115.080002,,4431200
2024-01-03,113.76,114.23,111.27,112.42,,3666000
2024-01-04,111.645,113.86,110.695,113.019997,,3675300
2024-01-05,113.019997,117.040001,112.988,115.99,,4539100
2024-01-08,116.61,119.84,116.61,119.25,,3002400
2024-01-09,118.46,121.74,118.28,121.18,,2560100
2024-01-10,121.75,121.999,118.43,120.19,,4219600
2024-01-11,121.455,121.86,118.43,120.88,,3001600
2024-01-12,121,123.089996,120.010002,123,,3664200
2024-01-16,122.76,124.89,121.96,123.79,,3105600
