date,open,high,low,close,adjusted_close,volume
2023-07-10,198.66,202.91,197.94,202.11,,263900
2023-07-11,202.25,204.22,201.77,204,,162300
2023-07-12,206.89999,206.89999,202.53999,206.28,,289900
2023-07-13,208.28,209.8,207.28999,209.12,,142600
2023-07-14,209.10001,211.10001,205.35001,205.96001,,120000
2023-07-17,207.32001,211.58,206.77,210.89999,,274900
2023-07-18,212.3,218.92,211.42,217.029999,,471100
2023-07-19,221.77,225.37,220.7,223,,428100
2023-07-20,222.5,224.17,212.92,213.31,,216500
2023-07-21,215.14999,217.28999,213.71001,215.73,,334800
2023-07-24,216.059998,216.17999,211.96001,213.28999,,231200
2023-07-25,211.27,213.96001,210.85001,212.57001,,170700
2023-07-26,214.8,220,213.33,218.45,,203800
2023-07-27,222,223.39,214.96001,215.17999,,142200
2023-07-28,215.58,217.36,215.080002,216,,269100
2023-07-31,216.99001,218.13,215.050003,217.85001,,616400
2023-08-01,217.7,218.27,215.53,216.3,,269900
2023-08-02,214.14999,214.52,207.25,208.82001,,358600
2023-08-03,207.71001,212.78999,207.71001,212.61,,242700
2023-08-04,213.53,214.52,208.74001,210.98,,146900
2023-08-07,212.10001,220.16,210.31,219.94,,410800
2023-08-08,218.14999,220.97,208.84,215.69,,881100
2023-08-09,218.13,223.17999,215.2,221.039993,,432000
2023-08-10,222.22,224.63,220.0099945,222.63,,418700
2023-08-11,221.5,222.25,217.71001,218.2,,171800
2023-08-14,214.3,219.17,213.87,217.64,,209600
2023-08-15,217.34,219.31,214.47,214.75999,,302300
2023-08-16,213.73,215.44,209.59,211.49001,,380000
2023-08-17,202.25,202.28999,188.28999,195.32001,,1625700
2023-08-18,192.39999,196.56,191.47,194.88,,358900
2023-08-21,195.92999,197.84,192.92,195.64999,,446500
2023-08-22,197.67,200.60001,197.3,199.17,,394100
2023-08-23,200.57001,201.5,198.97,200.24001,,154600
2023-08-24,200.39,200.69,196.74001,198.35001,,261700
2023-08-25,198.87,199.21001,194.42,196.82001,,255000
2023-08-28,198.31,198.60001,194.61,195.28999,,205700
2023-08-29,194.029999,197.56,193.62,194.44,,336800
2023-08-30,194.34,197.71001,194.23,195.61,,209300
2023-08-31,195.28999,198.86,194.28,194.8,,221200
2023-09-01,194.85001,197.35001,194.35001,195.69,,252000
2023-09-05,195.77,195.88,193.42,194.81,,203600
2023-09-06,196.39999,196.42999,190.0099945,191.49001,,478000
2023-09-07,190.82001,191.78999,187.88,190.070007,,368100
2023-09-08,187.75999,189.66,185.36,187.44,,400200
2023-09-11,188.86,189.11,185.029999,187.10001,,272400
2023-09-12,186.39999,186.45,182.28999,182.92,,474300
2023-09-13,182.35001,182.77,176.3,177.39,,834300
2023-09-14,174.45,179.37,173.050003,179.080002,,760400
2023-09-15,177.83,179.0099945,173.96001,176.46001,,534600
2023-09-18,179.47,180.38,177.74001,177.88,,355600
2023-09-19,177.60001,178.029999,175.67999,177.78999,,489500
2023-09-20,178.25,178.87,175.75,175.87,,232400
2023-09-21,174.13,174.33,172.020004,172.17,,311900
2023-09-22,173.84,174.53,171.78999,171.89,,184200
2023-09-25,171.34,172.17,170.42999,171.32001,,166500
2023-09-26,171.31,171.86,166.3,166.64,,317900
2023-09-27,168.75,168.91,165.74001,167.60001,,959700
2023-09-28,167.64,170.72,166.89,167.8,,282700
2023-09-29,167.44,170.55,167.44,170,,482900
2023-10-02,170.55,173.12,170,172.75,,577400
2023-10-03,173.25,174.17999,168.42999,168.72,,451800
2023-10-04,170.0099945,170.8,165.72,169.97,,394900
2023-10-05,170.8,170.8,166.080002,167.089996,,297600
2023-10-06,165.46001,170.35001,165.46001,169.91,,1440000
2023-10-09,167.77,169.16,162.36,163.64,,656500
2023-10-10,160.50999,165.52,160.2,163.39999,,1263500
2023-10-11,163.28999,165.14,158.28999,163.84,,571600
2023-10-12,161.85001,164.99001,159.95,164.39999,,458700
2023-10-13,163.44,163.61,158.44,158.7,,1114800
2023-10-16,160.22,168.25,159.23,166,,864200
2023-10-17,164.32001,167.89,163.56,165.53,,565700
2023-10-18,164.23,164.61,159.75,159.83,,483400
2023-10-19,159.62,160.92999,157.25,158.24001,,532200
2023-10-20,157.71001,158.88,155.16,156.3,,326900
2023-10-23,154.3,157.3,153.67999,155.31,,356000
2023-10-24,155.45,160.23,155.45,158.69,,418300
2023-10-25,156.39999,159.039993,155.36,156.48,,365900
2023-10-26,155.10001,157.38,150.47,152.55,,852900
2023-10-27,153.89,156.64999,151.84,152.13,,392900
2023-10-30,152.33,152.97,150.17999,151.83,,302700
2023-10-31,151.64,156.71001,151.62,154.35001,,587500
2023-11-01,155.69,155.98,149.53999,152.11,,474100
2023-11-02,153.56,160,153.56,158.32001,,579400
2023-11-03,159.48,169.27,158.7,168.050003,,909200
2023-11-06,168.070007,168.60001,166.75,168.10001,,450500
2023-11-07,168.49001,174.0099945,167.53,169.56,,607500
2023-11-08,169.34,172.2,168.59,169.75,,442000
2023-11-09,169.32001,169.47,166.059998,166.35001,,427200
2023-11-10,166.24001,170.67,164.78999,170.059998,,336100
2023-11-13,168.22,172.11,168.22,172.0099945,,742100
2023-11-14,175,179.74001,175,178.89999,,660100
2023-11-15,178.89,180.69,177.62,179.089996,,1240100
2023-11-16,194.82001,200.36,186.62,195.14999,,1957100
2023-11-17,194,199.28999,193.25,194.52,,1077000
2023-11-20,193.98,196.5,192.69,195.14999,,1334800
2023-11-21,195.10001,196,190.92,194.32001,,341800
2023-11-22,197.080002,198.3,194.37,194.45,,415600
2023-11-24,193.8,194.88,192.14,193.23,,191600
2023-11-27,194.44,195.55,193.31,194.32001,,342600
2023-11-28,193.84,196.27,192.78,194.42,,462300
2023-11-29,195.10001,196.67,192.98,193.78,,380900
2023-11-30,193.42,193.75,189.3,189.75,,527500
2023-12-01,189.7,190,184.75,188.49001,,574300
2023-12-04,189.64,195.45,188.58,193.78999,,542000
2023-12-05,194.50999,200.22,191.48,199.60001,,592900
2023-12-06,200.78999,204,198.55,198.57001,,520000
2023-12-07,199.45,201.19,196.67999,201.039993,,312100
2023-12-08,199.25999,203.61,199.12,203.2,,302900
2023-12-11,201.5,206,201.14,201.17,,317800
2023-12-12,201.17,202.50999,198.71001,199.059998,,280800
2023-12-13,198.92999,200.73,195.55,200.64,,414400
