date,open,high,low,close,adjusted_close,volume
2023-07-10,10.61,10.97,10.46,10.95,,20440300
2023-07-11,11.04,11.24,10.74,11.18,,22424300
2023-07-12,11.56,11.81,11.38,11.5,,32267500
2023-07-13,11.83,12.8,11.74,12.36,,44991700
2023-07-14,13.22,13.29,11.99,12.14,,53785700
2023-07-17,12.21,13.09,12.05,12.76,,35404200
2023-07-18,12.85,13.26,12.72,12.79,,28670000
2023-07-19,13.05,13.44,12.95,13.17,,30026600
2023-07-20,12.96,13.05,12.39,12.62,,23356400
2023-07-21,12.8,12.8,12.11,12.39,,21112700
2023-07-24,12.42,12.66,12.27,12.33,,14557700
2023-07-25,12.32,12.45,11.82,11.83,,16905800
2023-07-26,11.5,12.14,11.46,12.01,,20041800
2023-07-27,12.24,12.33,11.55,11.65,,17360700
2023-07-28,11.9,12.05,11.64,11.86,,16563900
2023-07-31,12.11,13.14,12.08,13.12,,31472100
2023-08-01,12.89,13.17,12.7,12.76,,18296500
2023-08-02,12.21,12.21,11.35,11.65,,29533900
2023-08-03,11.48,11.97,11.47,11.72,,12207300
2023-08-04,11.75,11.96,11.54,11.56,,14358900
2023-08-07,11.5,11.51,10.84,11.05,,18794300
2023-08-08,10.66,10.94,10.35,10.91,,17602400
2023-08-09,10.86,11.03,10.56,10.75,,21772000
2023-08-10,9.33,9.77,8.84,9.05,,69407200
2023-08-11,8.95,9.13,8.67,9.11,,27608400
2023-08-14,8.92,9.38,8.81,9.29,,19344600
2023-08-15,9.19,9.3,8.89,8.89,,15034100
2023-08-16,8.8,8.97,8.56,8.58,,16076700
2023-08-17,8.56,8.66,8.39,8.59,,18033700
2023-08-18,8.39,8.82,8.31,8.64,,13153900
2023-08-21,8.65,8.97,8.57,8.84,,14549000
2023-08-22,8.97,9.04,8.35,8.43,,20764300
2023-08-23,8.37,8.53,8.16,8.2,,18022100
2023-08-24,8.24,8.29,7.78,7.99,,23448500
2023-08-25,8.01,8.24,7.97,8.13,,17412300
2023-08-28,8.27,8.47,8.22,8.33,,12645500
2023-08-29,8.28,8.98,8.17,8.88,,18000000
2023-08-30,8.82,8.93,8.54,8.57,,17159500
2023-08-31,8.61,8.83,8.43,8.46,,14870200
2023-09-01,8.6,8.83,8.5,8.51,,11103900
2023-09-05,8.43,8.68,8.35,8.56,,12523800
2023-09-06,8.52,8.54,8.26,8.45,,11030200
2023-09-07,8.25,8.29,7.9,8.27,,15538300
2023-09-08,8.2,8.2,7.85,7.96,,15499700
2023-09-11,8.01,8.11,7.75,7.99,,13445700
2023-09-12,7.85,8.31,7.79,8.3,,14569700
2023-09-13,8.29,8.41,8.08,8.21,,12625200
2023-09-14,8.37,8.8,8.32,8.73,,17028200
2023-09-15,8.7,8.79,8.44,8.52,,20225600
2023-09-18,8.48,8.48,8.14,8.15,,11135800
2023-09-19,8.07,8.3,8.02,8.24,,12117600
2023-09-20,8.29,8.45,8.08,8.09,,11237300
2023-09-21,7.92,7.94,7.58,7.6,,18350200
2023-09-22,7.65,7.77,7.33,7.43,,17319000
2023-09-25,7.47,7.69,7.39,7.47,,12985100
2023-09-26,7.37,7.68,7.27,7.55,,16085000
2023-09-27,7.69,7.88,7.62,7.73,,22155800
2023-09-28,7.75,7.75,7.27,7.57,,18445300
2023-09-29,7.7,7.95,7.47,7.6,,18332800
2023-10-02,7.5,7.54,6.74,6.83,,36648900
2023-10-03,6.72,6.74,6.46,6.53,,25957200
2023-10-04,6.55,6.6,6.18,6.53,,24812000
2023-10-05,6.4,6.53,6.19,6.4,,19715500
2023-10-06,6.22,6.77,6.17,6.61,,18088600
2023-10-09,6.48,6.75,6.27,6.41,,16234700
2023-10-10,6.43,7.22,6.4,7.16,,28098400
2023-10-11,7.8,7.89,7.29,7.54,,69361900
2023-10-12,7.51,7.6,7.23,7.41,,28456500
2023-10-13,7.47,7.79,7.27,7.34,,32645500
2023-10-16,7.37,7.61,7.2,7.51,,22568100
2023-10-17,7.33,7.9,7.29,7.72,,21920800
2023-10-18,7.61,7.62,6.9,7,,27598700
2023-10-19,7.05,7.11,6.53,6.56,,23098700
2023-10-20,6.38,6.43,6.06,6.1,,38296200
2023-10-23,6.01,6.13,5.78,5.88,,23093900
2023-10-24,6.01,6.47,6.01,6.3,,24022500
2023-10-25,6.17,6.24,6.01,6.22,,17941300
2023-10-26,6.28,6.54,6.14,6.26,,19796900
2023-10-27,6.3,6.38,5.87,5.9,,19743100
2023-10-30,6.02,6.08,5.58,5.7,,23414500
2023-10-31,5.72,5.98,5.68,5.89,,16191800
2023-11-01,5.86,5.88,5.59,5.75,,20169800
2023-11-02,5.98,6.32,5.95,6.27,,28250800
2023-11-03,6.54,6.96,6.5,6.62,,28876400
2023-11-06,6.7,6.74,6.03,6.26,,22922000
2023-11-07,6.23,6.26,5.95,6.23,,19049700
2023-11-08,6.16,6.18,5.93,6.02,,19231200
2023-11-09,6.13,6.33,5.88,5.93,,33572800
2023-11-10,3.7,4.18,3.22,3.53,,223087500
2023-11-13,3.35,3.68,3.25,3.47,,84083800
2023-11-14,3.7,4.32,3.53,4.23,,77468300
2023-11-15,4.3,4.66,4.22,4.35,,60197900
2023-11-16,4.1,4.23,3.94,4.18,,41980000
2023-11-17,4.17,4.18,3.86,4,,42659900
2023-11-20,3.98,4.02,3.75,3.87,,43267600
2023-11-21,3.8,3.8,3.55,3.57,,35653000
2023-11-22,3.61,3.64,3.435,3.48,,26198200
2023-11-24,3.43,3.49,3.36,3.47,,16834700
2023-11-27,3.44,3.47,3.34,3.42,,22654900
2023-11-28,3.4,3.87,3.32,3.84,,42996400
2023-11-29,3.94,4.2,3.87,3.93,,39907800
2023-11-30,4,4.07,3.8,4.04,,30968200
2023-12-01,3.99,4.54,3.94,4.54,,42737900
2023-12-04,4.6,4.87,4.5,4.8,,47910600
2023-12-05,4.56,4.68,4.18,4.24,,49990800
2023-12-06,4.01,4.24,3.92,3.99,,48377000
2023-12-07,3.95,4.11,3.89,4.09,,27501100
2023-12-08,4.06,4.27,3.95,4.01,,25603600
2023-12-11,4,4.14,3.92,4.09,,23299300
2023-12-12,4.03,4.04,3.8,3.93,,29558000
2023-12-13,3.87,4.35,3.77,4.31,,34442000
2023-12-14,4.58,4.96,4.58,4.79,,67874900
2023-12-15,4.95,4.99,4.53,4.71,,46305600
2023-12-18,4.61,4.78,4.42,4.43,,31218500
2023-12-19,4.26,4.56,4.26,4.41,,32749300
2023-12-20,4.38,4.63,4.14,4.16,,34216300
2023-12-21,4.3,4.48,4.3,4.41,,25779200
2023-12-22,4.3,4.6,4.23,4.52,,34843600
2023-12-26,4.58,4.85,4.54,4.78,,27308300
2023-12-27,4.83,4.85,4.69,4.71,,24131400
2023-12-28,4.68,4.83,4.61,4.71,,22007100
2023-12-29,4.7,4.72,4.5,4.5,,19781600
2024-01-02,4.44,4.85,4.39,4.59,,30653400
2024-01-03,4.5,4.53,4.16,4.38,,46730800
2024-01-04,4.38,4.47,4.26,4.29,,26985100
2024-01-05,4.26,4.56,4.17,4.25,,28549700
2024-01-08,4.29,4.42,4.17,4.35,,25230700
2024-01-09,4.25,4.31,4.18,4.2,,20549100
2024-01-10,4.18,4.2,3.9,4.04,,32855500
2024-01-11,3.9,3.94,3.63,3.72,,45007400
2024-01-12,3.75,3.8,3.43,3.44,,32006700
2024-01-16,3.37,3.38,3,3.04,,43668500
2024-01-17,2.92,2.99,2.63,2.74,,68910000
2024-01-18,2.3,2.55,2.26,2.42,,98181700
2024-01-19,2.5,2.68,2.39,2.68,,56200600
2024-01-22,2.85,3.07,2.7,2.84,,65531500
2024-01-23,3.36,3.82,3.12,3.72,,158726500
2024-01-24,3.75,4.03,3.4,3.48,,100470600
2024-01-25,3.5,3.53,3.22,3.4,,52983000
2024-01-26,3.44,3.6,3.35,3.4,,30746200
2024-01-29,3.42,3.82,3.33,3.79,,41212400
2024-01-30,3.71,3.86,3.65,3.73,,34548500
2024-01-31,4.1,4.84,3.97,4.45,,130249400
2024-02-01,4.98,5.14,4.42,4.7,,111112200
2024-02-02,4.69,4.83,4.5,4.66,,60575800
2024-02-05,4.43,4.45,4.16,4.35,,40608200
2024-02-06,4.17,4.54,4.13,4.49,,50778700
2024-02-07,4.55,4.59,4.18,4.22,,36952000
2024-02-08,4.21,4.29,4.1,4.19,,35842600
2024-02-09,4.25,4.43,4.17,4.33,,40832600
2024-02-12,4.33,4.69,4.29,4.57,,48054600
2024-02-13,4.28,4.32,4.08,4.17,,37928600
