date,open,high,low,close,adjusted_close,volume
2023-07-10,61.25,62.040001,60.51,61.89,,8457600
2023-07-11,62.25,63.28,62.11,63.15,,8330100
2023-07-12,64.37,65.95,63.7,65.94,,14865500
2023-07-13,67.019997,70.5,66.81,70.37,,22978300
2023-07-14,70.61,71.43,68.42,68.45,,12088500
2023-07-17,68.6,69.89,67.87,68.68,,9671300
2023-07-18,68.46,68.46,65.25,67.26,,14982000
2023-07-19,67.88,69.13,67.41,68.23,,9139300
2023-07-20,67.27,68.268,65.025002,65.44,,10732300
2023-07-21,66.26,66.635,65.19,65.57,,7394600
2023-07-24,67,67.7,65.51,66.17,,10457300
2023-07-25,65.91,66.48,64.854,64.99,,8531200
2023-07-26,64.5,65.9,63.91,64.68,,8663000
2023-07-27,66.32,67.79,63.525,63.96,,12823800
2023-07-28,65.010002,66.26,64.87,66.040001,,7783200
2023-07-31,66.95,68.31,66.76,67.58,,9079000
2023-08-01,66.77,67.64,65.59,67.45,,9900400
2023-08-02,65.64,66.181,61.99,62.43,,25987400
2023-08-03,61.88,64.25,58.33,59.040001,,35450300
2023-08-04,60.25,61.18,57.67,57.93,,17041900
2023-08-07,57.61,58.058998,56.51,57.57,,10887400
2023-08-08,56.45,57.31,55.73,56.19,,12202300
2023-08-09,56.099998,57.064999,55.09,55.2,,9709000
2023-08-10,56.3,57.2,55.38,56.47,,11696400
2023-08-11,55.59,55.942,54.71,55.27,,8671900
2023-08-14,54.54,55.99,54.377,55.98,,6531000
2023-08-15,55.69,56.2,54.77,55.34,,9741000
2023-08-16,55.16,55.945,54.35,55.34,,8530700
2023-08-17,55.69,55.97,52.775,53.22,,13873200
2023-08-18,51.47,53.25,51.2,53.14,,12142800
2023-08-21,53.41,54.27,52.899,53.93,,7606800
2023-08-22,54.7,55.084999,53.84,53.96,,6627500
2023-08-23,54.19,57.0050011,54.11,56.73,,13232000
2023-08-24,57.099998,57.17,54.932,55.46,,8956200
2023-08-25,55.43,56.64,54.068001,55.54,,8956000
2023-08-28,56.24,56.725,55.75,56.31,,7511900
2023-08-29,56.28,59.149,56.0099983,58.8,,9897800
2023-08-30,58.59,60.028999,58.37,60.0099983,,7972400
2023-08-31,64.71,66.85,63.28,66.49,,30505800
2023-09-01,66.68,67.6,65.89,66.71,,13840600
2023-09-05,66.24,66.49,65.27,65.8,,8858400
2023-09-06,65.040001,66.26,65,65.82,,8222700
2023-09-07,64.76,65.71,63.571,64.78,,8711900
2023-09-08,64.34,64.825,62.785,63.0099983,,9043500
2023-09-11,63.39,64.76,62.81,64.56,,7924300
2023-09-12,63.73,64.92,62.91,62.93,,7179900
2023-09-13,62.34,63.26,61.722,62.62,,6920300
2023-09-14,63.080002,63.838,62.65,63.4,,7116800
